UKPRN,HE Provider,Country of HE provider,Region of HE provider,Academic year,Financial year end,Category marker,Category,Value(£000s),Year End Month
10007800,The University of the West of Scotland,Scotland,Scotland,2018/19,31/07/2019,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-14476,All
,Total,Scotland,Scotland,2018/19,,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-168382,All
,Total,Scotland,Scotland,2018/19,,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-168382,"07, July"
10007783,The University of Aberdeen,Scotland,Scotland,2019/20,31/07/2020,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-15170,"07, July"
10007783,The University of Aberdeen,Scotland,Scotland,2019/20,31/07/2020,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-15170,All
10007849,Abertay University,Scotland,Scotland,2019/20,31/07/2020,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-14293,"07, July"
10007849,Abertay University,Scotland,Scotland,2019/20,31/07/2020,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-14293,All
10007852,The University of Dundee,Scotland,Scotland,2019/20,31/07/2020,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-29374,"07, July"
10007852,The University of Dundee,Scotland,Scotland,2019/20,31/07/2020,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-29374,All
10007772,Edinburgh Napier University,Scotland,Scotland,2019/20,31/07/2020,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-41638,"07, July"
10007772,Edinburgh Napier University,Scotland,Scotland,2019/20,31/07/2020,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-41638,All
10007790,The University of Edinburgh,Scotland,Scotland,2019/20,31/07/2020,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-53076,"07, July"
10007790,The University of Edinburgh,Scotland,Scotland,2019/20,31/07/2020,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-53076,All
10007762,Glasgow Caledonian University,Scotland,Scotland,2019/20,31/07/2020,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-43768,"07, July"
10007762,Glasgow Caledonian University,Scotland,Scotland,2019/20,31/07/2020,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-43768,All
10002681,Glasgow School of Art,Scotland,Scotland,2019/20,31/07/2020,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-9227,"07, July"
10002681,Glasgow School of Art,Scotland,Scotland,2019/20,31/07/2020,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-9227,All
10007794,The University of Glasgow,Scotland,Scotland,2019/20,31/07/2020,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-21264,"07, July"
10007794,The University of Glasgow,Scotland,Scotland,2019/20,31/07/2020,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-21264,All
10007764,Heriot-Watt University,Scotland,Scotland,2019/20,31/07/2020,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-25146,"07, July"
10007764,Heriot-Watt University,Scotland,Scotland,2019/20,31/07/2020,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-25146,All
10005337,"Queen Margaret University, Edinburgh",Scotland,Scotland,2019/20,31/07/2020,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-14439,"07, July"
10005337,"Queen Margaret University, Edinburgh",Scotland,Scotland,2019/20,31/07/2020,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-14439,All
10005500,Robert Gordon University,Scotland,Scotland,2019/20,31/07/2020,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-11407,"07, July"
10005500,Robert Gordon University,Scotland,Scotland,2019/20,31/07/2020,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-11407,All
10005561,Royal Conservatoire of Scotland,Scotland,Scotland,2019/20,31/07/2020,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-5426,"07, July"
10005561,Royal Conservatoire of Scotland,Scotland,Scotland,2019/20,31/07/2020,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-5426,All
10007803,The University of St. Andrews,Scotland,Scotland,2019/20,31/07/2020,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-25487,"07, July"
10007803,The University of St. Andrews,Scotland,Scotland,2019/20,31/07/2020,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-25487,All
10005700,SRUC,Scotland,Scotland,2019/20,31/07/2020,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,7565,"07, July"
10005700,SRUC,Scotland,Scotland,2019/20,31/07/2020,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,7565,All
10007804,The University of Stirling,Scotland,Scotland,2019/20,31/07/2020,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-10293,"07, July"
10007804,The University of Stirling,Scotland,Scotland,2019/20,31/07/2020,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-10293,All
10007805,The University of Strathclyde,Scotland,Scotland,2019/20,31/07/2020,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-18739,"07, July"
10007805,The University of Strathclyde,Scotland,Scotland,2019/20,31/07/2020,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-18739,All
10007114,University of the Highlands and Islands,Scotland,Scotland,2019/20,31/07/2020,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-7717,"07, July"
10007114,University of the Highlands and Islands,Scotland,Scotland,2019/20,31/07/2020,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-7717,All
10007800,The University of the West of Scotland,Scotland,Scotland,2019/20,31/07/2020,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-35324,"07, July"
10007800,The University of the West of Scotland,Scotland,Scotland,2019/20,31/07/2020,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-35324,All
,Total,Scotland,Scotland,2019/20,,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-374223,All
,Total,Scotland,Scotland,2019/20,,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-374223,"07, July"
10007783,The University of Aberdeen,Scotland,Scotland,2020/21,31/07/2021,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,19807,"07, July"
10007783,The University of Aberdeen,Scotland,Scotland,2020/21,31/07/2021,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,19807,All
10007849,Abertay University,Scotland,Scotland,2020/21,31/07/2021,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,15896,"07, July"
10007849,Abertay University,Scotland,Scotland,2020/21,31/07/2021,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,15896,All
10007852,The University of Dundee,Scotland,Scotland,2020/21,31/07/2021,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,4262,"07, July"
