UKPRN,HE provider,Country of HE provider,Region of HE provider,First year marker,Level of study,Mode of study,Academic Year,Category marker,Category,Number
10005337,"Queen Margaret University, Edinburgh",Scotland,Scotland,First year,All,Full-time,2018/19,Total,Total,1460
10005337,"Queen Margaret University, Edinburgh",Scotland,Scotland,First year,All,Part-time,2018/19,Total,Total,920
10005337,"Queen Margaret University, Edinburgh",Scotland,Scotland,Other years,All,All,2018/19,Total,Total,2845
10005337,"Queen Margaret University, Edinburgh",Scotland,Scotland,Other years,All,Full-time,2018/19,Total,Total,2225
10005337,"Queen Margaret University, Edinburgh",Scotland,Scotland,Other years,All,Part-time,2018/19,Total,Total,620
10005500,Robert Gordon University,Scotland,Scotland,All,All,All,2018/19,Total,Total,12335
10005500,Robert Gordon University,Scotland,Scotland,All,All,Full-time,2018/19,Total,Total,9085
10005500,Robert Gordon University,Scotland,Scotland,All,All,Part-time,2018/19,Total,Total,3250
10005500,Robert Gordon University,Scotland,Scotland,First year,All,All,2018/19,Total,Total,4570
10005500,Robert Gordon University,Scotland,Scotland,First year,All,Full-time,2018/19,Total,Total,3200
10005500,Robert Gordon University,Scotland,Scotland,First year,All,Part-time,2018/19,Total,Total,1365
10005500,Robert Gordon University,Scotland,Scotland,Other years,All,All,2018/19,Total,Total,7770
10005500,Robert Gordon University,Scotland,Scotland,Other years,All,Full-time,2018/19,Total,Total,5885
10005500,Robert Gordon University,Scotland,Scotland,Other years,All,Part-time,2018/19,Total,Total,1885
10005561,Royal Conservatoire of Scotland,Scotland,Scotland,All,All,All,2018/19,Total,Total,1280
10005561,Royal Conservatoire of Scotland,Scotland,Scotland,All,All,Full-time,2018/19,Total,Total,1140
10005561,Royal Conservatoire of Scotland,Scotland,Scotland,All,All,Part-time,2018/19,Total,Total,140
10005561,Royal Conservatoire of Scotland,Scotland,Scotland,First year,All,All,2018/19,Total,Total,460
10005561,Royal Conservatoire of Scotland,Scotland,Scotland,First year,All,Full-time,2018/19,Total,Total,430
10005561,Royal Conservatoire of Scotland,Scotland,Scotland,First year,All,Part-time,2018/19,Total,Total,30
10005561,Royal Conservatoire of Scotland,Scotland,Scotland,Other years,All,All,2018/19,Total,Total,820
10005561,Royal Conservatoire of Scotland,Scotland,Scotland,Other years,All,Full-time,2018/19,Total,Total,710
10005561,Royal Conservatoire of Scotland,Scotland,Scotland,Other years,All,Part-time,2018/19,Total,Total,105
10007803,The University of St. Andrews,Scotland,Scotland,All,All,All,2018/19,Total,Total,10570
10007803,The University of St. Andrews,Scotland,Scotland,All,All,Full-time,2018/19,Total,Total,9490
10007803,The University of St. Andrews,Scotland,Scotland,All,All,Part-time,2018/19,Total,Total,1080
10007803,The University of St. Andrews,Scotland,Scotland,First year,All,All,2018/19,Total,Total,4195
10007803,The University of St. Andrews,Scotland,Scotland,First year,All,Full-time,2018/19,Total,Total,3365
10007803,The University of St. Andrews,Scotland,Scotland,First year,All,Part-time,2018/19,Total,Total,825
10007803,The University of St. Andrews,Scotland,Scotland,Other years,All,All,2018/19,Total,Total,6380
10007803,The University of St. Andrews,Scotland,Scotland,Other years,All,Full-time,2018/19,Total,Total,6125
10007803,The University of St. Andrews,Scotland,Scotland,Other years,All,Part-time,2018/19,Total,Total,255
10005700,SRUC,Scotland,Scotland,All,All,All,2018/19,Total,Total,1760
10005700,SRUC,Scotland,Scotland,All,All,Full-time,2018/19,Total,Total,1235
